num__customer_id,num__past_3_years_bike_related_purchases,num__tenure,cat__first_name,cat__last_name,cat__gender,cat__job_title,cat__job_industry_category,cat__wealth_segment,cat__deceased_indicator,cat__owns_car,cat__DOB
19.0,76.0,1.0,Sorcha,Keyson,F,Geological Engineer,Manufacturing,High Net Worth,N,No,2001-04-15 00:00:00
20.0,72.0,11.0,Basile,Firth,M,Project Manager,Manufacturing,Mass Customer,N,No,1980-08-13 00:00:00
21.0,74.0,16.0,Mile,Cammocke,M,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,1980-09-20 00:00:00
22.0,79.0,11.0,Deeanne,Durtnell,F,unkown,IT,Mass Customer,N,No,1962-12-10 00:00:00
23.0,43.0,1.0,Olav,Polak,M,unkown,unkown,High Net Worth,N,Yes,1995-02-10 00:00:00
24.0,55.0,15.0,Kim,Skpsey,F,Research Assistant I,Argiculture,Mass Customer,N,Yes,1977-12-03 00:00:00
25.0,72.0,21.0,Geoff,Assaf,M,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,1976-12-02 00:00:00
26.0,12.0,16.0,Trixi,Ginnelly,F,Editor,Financial Services,Mass Customer,N,Yes,1978-06-10 00:00:00
27.0,37.0,12.0,Garvin,Klees,M,Research Nurse,Health,Mass Customer,N,Yes,1978-09-25 00:00:00
28.0,5.0,21.0,Fee,Zellmer,M,Senior Quality Engineer,Health,Affluent Customer,N,Yes,1973-09-30 00:00:00
29.0,62.0,19.0,Mona,Sancraft,F,Safety Technician III,Manufacturing,Mass Customer,N,No,1968-06-22 00:00:00
30.0,18.0,6.0,Darrick,Helleckas,M,unkown,IT,Affluent Customer,N,Yes,1961-10-18 00:00:00
31.0,3.0,14.0,Star,Praton,F,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,1962-11-24 00:00:00
32.0,17.0,4.0,Marion,Vanichkin,F,Legal Assistant,Manufacturing,Affluent Customer,N,No,1995-04-20 00:00:00
33.0,44.0,11.0,Ernst,Hacon,M,Product Engineer,unkown,Affluent Customer,N,Yes,1957-06-25 00:00:00
34.0,59.0,20.0,Jephthah,Bachmann,U,Legal Assistant,IT,Affluent Customer,N,No,1843-12-21 00:00:00
35.0,40.0,16.0,Margaretha,Strettle,F,Information Systems Manager,Health,High Net Worth,N,Yes,1963-09-28 00:00:00
36.0,33.0,22.0,Lurette,Stonnell,F,VP Quality Control,unkown,Affluent Customer,N,No,1977-11-09 00:00:00
37.0,46.0,16.0,Laurie,Dwerryhouse,F,Social Worker,Health,High Net Worth,N,No,1985-12-22 00:00:00
38.0,37.0,20.0,Cordi,Merman,F,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,1955-10-29 00:00:00
39.0,5.0,22.0,Hunfredo,Smalley,M,Assistant Media Planner,Entertainment,Mass Customer,N,No,1979-04-16 00:00:00
40.0,91.0,14.0,Tomasine,Jerche,F,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,1981-10-27 00:00:00
41.0,64.0,16.0,Basilius,Coupe,M,Food Chemist,Health,Mass Customer,N,No,1976-04-14 00:00:00
42.0,24.0,18.0,Chiquita,Durnall,F,Accountant III,Manufacturing,Mass Customer,N,No,1977-03-28 00:00:00
43.0,38.0,5.0,Indira,Belt,F,Director of Sales,Retail,Mass Customer,N,No,1983-03-01 00:00:00
44.0,63.0,17.0,Neron,Verick,M,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,1981-10-18 00:00:00
45.0,64.0,8.0,Trace,Woodhead,M,Senior Financial Analyst,Financial Services,Mass Customer,N,No,1975-09-23 00:00:00
46.0,98.0,15.0,Kaila,Allin,F,unkown,unkown,Affluent Customer,N,Yes,1972-02-26 00:00:00
47.0,51.0,2.0,Matthew,Jeaycock,M,Registered Nurse,Health,Affluent Customer,N,No,1992-10-22 00:00:00
48.0,46.0,8.0,Rebbecca,Casone,F,Biostatistician II,unkown,Mass Customer,N,Yes,1975-08-15 00:00:00
49.0,63.0,1.0,Nolly,Ownsworth,M,VP Quality Control,unkown,Affluent Customer,N,No,1994-01-26 00:00:00
50.0,38.0,16.0,Whitby,Schapero,M,Account Executive,Manufacturing,Mass Customer,N,Yes,1980-10-01 00:00:00
51.0,68.0,18.0,Fidelio,Dilke,M,Computer Systems Analyst II,Retail,Mass Customer,N,No,1959-12-05 00:00:00
52.0,57.0,13.0,Curran,Bentson,M,unkown,Financial Services,Mass Customer,N,Yes,1988-06-22 00:00:00
53.0,22.0,16.0,Agnella,Gocke,F,Software Test Engineer II,Financial Services,Mass Customer,N,No,1954-04-18 00:00:00
54.0,2.0,18.0,Loralyn,Wonfor,F,Sales Associate,Property,Mass Customer,N,Yes,1966-07-24 00:00:00
55.0,48.0,7.0,Linc,Jillions,M,Paralegal,Financial Services,Affluent Customer,N,Yes,1956-09-24 00:00:00
56.0,44.0,4.0,Reese,Ensor,M,VP Sales,Property,Mass Customer,N,Yes,1996-07-04 00:00:00
57.0,87.0,13.0,Abba,Masedon,M,Chief Design Engineer,unkown,Mass Customer,N,Yes,1988-06-13 00:00:00
58.0,26.0,17.0,Dalenna,Pinnock,F,Office Assistant III,Financial Services,Affluent Customer,N,Yes,1967-07-04 00:00:00
59.0,60.0,3.0,Niki,Heathcote,M,Physical Therapy Assistant,unkown,High Net Worth,N,No,2000-02-08 00:00:00
60.0,18.0,10.0,Nadiya,Champerlen,F,unkown,Manufacturing,Mass Customer,N,No,1970-02-04 00:00:00
61.0,47.0,13.0,Kacey,Rowbottom,F,Help Desk Operator,Property,High Net Worth,N,No,1959-11-29 00:00:00
62.0,38.0,22.0,Sorcha,Roggers,F,unkown,IT,Mass Customer,N,Yes,1979-07-06 00:00:00
63.0,58.0,16.0,Ebony,Zini,F,Senior Quality Engineer,Retail,Mass Customer,N,Yes,1965-07-03 00:00:00
64.0,73.0,4.0,Gerek,Yve,M,Legal Assistant,IT,High Net Worth,N,No,1978-03-25 00:00:00
65.0,21.0,15.0,Yale,Tanser,M,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,1976-04-01 00:00:00
66.0,46.0,1.0,Anselm,Gawne,M,Account Executive,Argiculture,High Net Worth,N,No,2002-03-11 00:00:00
67.0,67.0,18.0,Vernon,unkown,M,Web Developer II,Retail,Mass Customer,N,No,1960-06-14 00:00:00
68.0,37.0,9.0,Dahlia,Eddoes,F,Information Systems Manager,unkown,Affluent Customer,N,No,1974-04-21 00:00:00
69.0,16.0,6.0,Heidi,Milner,F,Web Developer II,unkown,Mass Customer,N,No,1969-06-22 00:00:00
70.0,78.0,8.0,Foster,Vannoort,M,Paralegal,Financial Services,Affluent Customer,N,No,1993-02-27 00:00:00
71.0,30.0,12.0,Hoyt,Glavias,M,Research Associate,Argiculture,Affluent Customer,N,Yes,1985-01-27 00:00:00
72.0,93.0,16.0,Sammy,Cheese,M,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,1972-02-13 00:00:00
73.0,16.0,5.0,Minette,Worters,F,Teacher,unkown,Affluent Customer,N,Yes,1960-05-27 00:00:00
74.0,94.0,6.0,Pansy,Kiddie,F,unkown,unkown,Mass Customer,N,Yes,1969-06-19 00:00:00
75.0,28.0,19.0,Dollie,Sealy,F,VP Product Management,Property,Mass Customer,N,No,1978-07-15 00:00:00
76.0,20.0,18.0,Rea,Hasser,F,Statistician II,Retail,High Net Worth,N,Yes,1978-01-23 00:00:00
77.0,79.0,7.0,Shermie,Andrin,M,Automation Specialist IV,Financial Services,Mass Customer,N,No,1989-09-12 00:00:00
78.0,37.0,8.0,Arch,Van der Kruis,M,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,1985-03-12 00:00:00
79.0,76.0,18.0,Tybi,Silliman,F,Account Executive,Manufacturing,Mass Customer,N,No,1968-10-02 00:00:00
80.0,11.0,13.0,Pablo,Small,M,Data Coordiator,Entertainment,Mass Customer,N,No,1978-04-24 00:00:00
81.0,58.0,13.0,Bee,Blazewicz,F,unkown,Health,High Net Worth,N,No,1986-09-04 00:00:00
82.0,93.0,19.0,Gleda,Cokely,F,Software Test Engineer III,Property,High Net Worth,N,No,1965-06-28 00:00:00
83.0,97.0,18.0,Kerr,Simmell,M,Internal Auditor,IT,Mass Customer,N,Yes,1967-02-26 00:00:00
84.0,78.0,14.0,Rich,Mathiasen,M,Accountant III,unkown,Mass Customer,N,Yes,1958-02-07 00:00:00
85.0,1.0,8.0,Kane,Tixall,M,Analyst Programmer,unkown,Mass Customer,N,No,1958-05-21 00:00:00
86.0,75.0,7.0,Job,Sleney,M,Occupational Therapist,Health,High Net Worth,N,Yes,1989-03-04 00:00:00
87.0,78.0,8.0,Fields,Langdon,M,Editor,Financial Services,Mass Customer,N,No,1974-04-23 00:00:00
88.0,41.0,7.0,Malynda,Tumber,F,Help Desk Operator,Property,High Net Worth,N,Yes,1966-02-03 00:00:00
89.0,74.0,14.0,Benedicto,Hoxey,M,Speech Pathologist,Health,Mass Customer,N,Yes,1967-01-22 00:00:00
90.0,76.0,11.0,Cary,Garron,M,Quality Control Specialist,Manufacturing,Mass Customer,N,No,1984-11-12 00:00:00
91.0,69.0,17.0,Dylan,Meaker,M,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,1955-02-24 00:00:00
92.0,98.0,12.0,Jodee,Judkins,F,Recruiting Manager,Health,Mass Customer,N,No,1980-09-11 00:00:00
93.0,63.0,10.0,Gordon,Gowar,M,Project Manager,Retail,Mass Customer,N,Yes,1976-07-16 00:00:00
94.0,33.0,21.0,Wallache,Simchenko,M,Civil Engineer,Manufacturing,Mass Customer,N,No,1974-08-07 00:00:00
95.0,67.0,8.0,Nomi,Mallinder,F,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,1960-12-25 00:00:00
96.0,33.0,15.0,Heath,Olford,M,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,1968-08-31 00:00:00
97.0,16.0,10.0,Arne,Corain,M,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,1979-07-27 00:00:00
98.0,19.0,7.0,Allianora,Babalola,F,Safety Technician IV,Health,Mass Customer,N,No,1956-03-17 00:00:00
99.0,97.0,3.0,Reggie,Mulliner,M,VP Accounting,Financial Services,Mass Customer,N,No,1998-06-13 00:00:00
100.0,80.0,4.0,Tripp,Steed,M,General Manager,Financial Services,Mass Customer,N,Yes,1968-05-11 00:00:00
101.0,83.0,11.0,Goran,Kwietek,M,Nurse Practicioner,Manufacturing,High Net Worth,N,No,1975-12-29 00:00:00
102.0,51.0,16.0,Langsdon,Tranfield,M,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,1956-11-27 00:00:00
103.0,49.0,4.0,Ethyl,Runham,F,Product Engineer,Financial Services,Affluent Customer,N,Yes,1997-04-21 00:00:00
104.0,40.0,9.0,Odille,Panketh,F,Automation Specialist II,Health,Mass Customer,N,Yes,1978-06-06 00:00:00
105.0,25.0,1.0,Maribeth,Pristnor,F,Recruiting Manager,Manufacturing,Mass Customer,N,No,2001-09-17 00:00:00
106.0,54.0,18.0,Glyn,unkown,M,Software Test Engineer III,Health,High Net Worth,N,Yes,1966-07-03 00:00:00
107.0,97.0,9.0,Pris,Stallebrass,F,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,1990-07-01 00:00:00
108.0,4.0,3.0,Kayle,Mingaud,F,unkown,unkown,High Net Worth,N,No,1994-03-14 00:00:00
109.0,16.0,4.0,Cody,Blabey,M,Marketing Assistant,unkown,Affluent Customer,N,Yes,1978-12-11 00:00:00
110.0,23.0,1.0,Sascha,St. Quintin,M,unkown,Financial Services,Affluent Customer,N,No,2000-07-31 00:00:00
111.0,65.0,2.0,Cele,Evason,F,Analyst Programmer,unkown,Mass Customer,N,No,1993-08-29 00:00:00
112.0,88.0,12.0,Shena,Parren,F,Marketing Manager,Retail,High Net Worth,N,No,1975-08-12 00:00:00
113.0,67.0,20.0,Gage,Nickless,M,Staff Scientist,unkown,Mass Customer,N,No,1956-05-06 00:00:00
114.0,10.0,8.0,Sunny,Swindells,F,Teacher,Entertainment,Affluent Customer,N,No,1985-10-23 00:00:00
115.0,77.0,18.0,Alberik,Mereweather,M,Account Executive,Health,Mass Customer,N,No,1981-12-21 00:00:00
116.0,49.0,2.0,Scottie,Swiffen,M,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,1999-02-05 00:00:00
117.0,75.0,15.0,Nance,Suttling,F,Marketing Manager,Manufacturing,Mass Customer,N,No,1982-02-23 00:00:00
118.0,43.0,19.0,Prentice,Pearmain,M,Budget/Accounting Analyst IV,unkown,High Net Worth,N,No,1959-11-12 00:00:00
119.0,9.0,9.0,Willey,Chastanet,M,Associate Professor,unkown,High Net Worth,N,Yes,1981-12-04 00:00:00
120.0,80.0,4.0,Sloan,Wagg,M,Legal Assistant,Financial Services,High Net Worth,N,Yes,1978-09-02 00:00:00
121.0,82.0,15.0,Myles,Pauncefort,M,Graphic Designer,Manufacturing,Mass Customer,N,No,1957-10-02 00:00:00
122.0,87.0,12.0,Colver,Itter,M,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,1979-04-19 00:00:00
123.0,85.0,15.0,Almeta,Kalinsky,F,Analyst Programmer,Financial Services,High Net Worth,N,No,1988-12-03 00:00:00
124.0,27.0,5.0,Kath,Cunney,F,Administrative Assistant II,Health,High Net Worth,N,Yes,1995-05-03 00:00:00
125.0,94.0,16.0,Darrelle,Antoniewski,F,Computer Systems Analyst II,Property,Mass Customer,N,No,1960-03-17 00:00:00
126.0,53.0,3.0,Norman,Cliff,M,Administrative Officer,Health,Mass Customer,N,Yes,1992-10-15 00:00:00
127.0,81.0,19.0,Merrili,Whitear,F,Compensation Analyst,Financial Services,Mass Customer,N,No,1974-12-03 00:00:00
128.0,73.0,12.0,Isidro,Cypler,M,Systems Administrator III,Property,Mass Customer,N,Yes,1977-07-17 00:00:00
129.0,64.0,19.0,Weidar,Silkstone,M,Financial Advisor,Financial Services,High Net Worth,N,Yes,1985-07-20 00:00:00
130.0,32.0,1.0,Raddy,Delete,M,Chemical Engineer,Manufacturing,Mass Customer,N,No,1997-07-18 00:00:00
131.0,57.0,8.0,Jana,Renyard,F,Administrative Officer,Retail,High Net Worth,N,No,1964-10-16 00:00:00
132.0,5.0,9.0,Celesta,Willavoys,F,Web Designer I,Manufacturing,Mass Customer,N,Yes,1963-07-07 00:00:00
133.0,12.0,16.0,Eldridge,Fiddeman,M,VP Accounting,Financial Services,Mass Customer,N,Yes,1977-06-13 00:00:00
134.0,34.0,5.0,Merna,McCulloch,F,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,1997-08-01 00:00:00
135.0,18.0,3.0,Rosalia,Sigart,F,Internal Auditor,IT,Mass Customer,N,No,1975-01-18 00:00:00
136.0,46.0,7.0,Mel,Bennet,M,Senior Developer,Manufacturing,High Net Worth,N,Yes,1973-05-26 00:00:00
137.0,27.0,10.0,Vaughn,Artin,M,Office Assistant II,Property,High Net Worth,N,No,1987-11-21 00:00:00
138.0,5.0,13.0,Onofredo,Franc,M,Recruiter,Financial Services,Affluent Customer,N,Yes,1985-04-28 00:00:00
139.0,1.0,4.0,Gar,unkown,M,Operator,Telecommunications,Affluent Customer,N,No,1964-07-28 00:00:00
140.0,9.0,2.0,Morrie,Flaxon,M,Programmer Analyst III,Manufacturing,Mass Customer,N,No,1994-05-20 00:00:00
141.0,67.0,10.0,Townsend,Trobe,M,Teacher,Financial Services,High Net Worth,N,Yes,1954-06-25 00:00:00
142.0,57.0,17.0,Bentley,Fortesquieu,M,Quality Engineer,Health,Affluent Customer,N,No,1967-08-07 00:00:00
143.0,19.0,11.0,Kendall,Figg,M,Operator,Argiculture,Mass Customer,N,Yes,1957-09-01 00:00:00
144.0,71.0,10.65704063378482,Jory,Barrabeale,U,Environmental Tech,IT,Mass Customer,N,No,unkown
145.0,33.0,4.0,Filippo,Ferrara,M,Account Executive,Financial Services,Mass Customer,N,No,1997-07-21 00:00:00
146.0,34.0,8.0,Ricoriki,Matlock,M,Quality Control Specialist,Manufacturing,Mass Customer,N,No,1985-04-08 00:00:00
147.0,32.0,10.0,Rea,Pattrick,F,Analog Circuit Design manager,Health,Mass Customer,N,Yes,1973-12-06 00:00:00
148.0,69.0,5.0,Jaquith,Maffey,F,Programmer Analyst III,unkown,Mass Customer,N,Yes,1981-05-08 00:00:00
149.0,41.0,1.0,Drucy,Kausche,F,Research Nurse,Health,Mass Customer,N,Yes,1995-01-31 00:00:00
150.0,6.0,17.0,Bradly,Crosse,M,Cost Accountant,Financial Services,Affluent Customer,N,No,1983-08-23 00:00:00
151.0,36.0,13.0,Donnie,Brimson,M,Marketing Manager,Manufacturing,Mass Customer,N,Yes,1965-01-31 00:00:00
152.0,5.0,16.0,Stephana,Cardew,F,Compensation Analyst,Financial Services,Mass Customer,N,No,1981-03-03 00:00:00
153.0,73.0,12.0,Lorilyn,Walshe,F,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,1977-07-28 00:00:00
154.0,90.0,11.0,Faydra,Dulieu,F,Junior Executive,unkown,Mass Customer,N,No,1958-02-13 00:00:00
155.0,4.0,10.0,Orran,Bogges,M,Quality Engineer,Manufacturing,Mass Customer,N,No,1985-12-28 00:00:00
156.0,23.0,11.0,Shayla,Rimmington,F,Cost Accountant,Financial Services,Mass Customer,N,Yes,1979-09-09 00:00:00
157.0,97.0,16.0,Chad,Houtby,M,Financial Advisor,Financial Services,Affluent Customer,N,No,1974-11-23 00:00:00
158.0,99.0,5.0,Hamlin,Odams,M,Internal Auditor,unkown,Affluent Customer,N,No,1984-09-03 00:00:00
159.0,90.0,13.0,Arin,Matskevich,M,Research Nurse,Health,Affluent Customer,N,No,1987-05-12 00:00:00
160.0,5.0,18.0,Wake,Durning,M,Registered Nurse,Health,Mass Customer,N,No,1964-07-15 00:00:00
161.0,49.0,16.0,Tadd,Bloss,M,unkown,unkown,Mass Customer,N,No,1976-01-21 00:00:00
162.0,90.0,15.0,Port,Acuna,M,Nurse Practicioner,IT,Mass Customer,N,No,1979-08-12 00:00:00
163.0,58.0,14.0,Kessia,Helder,F,Librarian,Entertainment,High Net Worth,N,Yes,1976-09-06 00:00:00
164.0,55.0,1.0,Aarika,Van Vuuren,F,Senior Editor,Retail,Affluent Customer,N,Yes,1999-08-07 00:00:00
165.0,61.0,12.0,Aldon,Roelofs,M,Administrative Officer,Argiculture,Mass Customer,N,Yes,1984-03-25 00:00:00
166.0,54.0,6.0,Elston,Oleszczak,M,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,1955-06-12 00:00:00
167.0,95.0,17.0,Nathalie,Tideswell,F,unkown,Health,High Net Worth,N,Yes,1969-10-27 00:00:00
168.0,8.0,10.65704063378482,Reggie,Broggetti,U,General Manager,IT,Affluent Customer,N,Yes,unkown
169.0,20.0,5.0,Alfy,Bruhnke,M,Data Coordiator,Telecommunications,High Net Worth,N,Yes,1957-10-19 00:00:00
170.0,80.0,21.0,Jammal,Gever,M,Pharmacist,Health,High Net Worth,N,No,1975-06-02 00:00:00
171.0,62.0,10.0,Halli,Davidoff,F,Assistant Manager,Manufacturing,Mass Customer,N,No,1970-12-04 00:00:00
172.0,54.0,6.0,Hilton,Carney,M,Editor,Manufacturing,Affluent Customer,N,Yes,1988-09-12 00:00:00
173.0,99.0,1.0,Ebba,Hanselmann,F,General Manager,Health,Affluent Customer,N,No,1997-01-02 00:00:00
174.0,93.0,12.0,Catie,Tosspell,F,Food Chemist,Health,Mass Customer,N,No,1989-11-26 00:00:00
175.0,36.0,5.0,Templeton,Hambrook,M,Quality Engineer,Manufacturing,Affluent Customer,N,No,1975-11-28 00:00:00
176.0,39.0,10.0,Angelo,Clayal,M,Accountant I,Property,Mass Customer,N,No,1992-04-13 00:00:00
177.0,25.0,4.0,Ondrea,Pablos,F,Professor,Financial Services,High Net Worth,N,No,1989-11-09 00:00:00
178.0,2.0,8.0,Matthieu,Bertelmot,M,unkown,unkown,Affluent Customer,N,No,1967-04-03 00:00:00
179.0,23.0,6.0,Esteban,Sewill,M,Environmental Tech,Manufacturing,High Net Worth,N,Yes,1966-05-11 00:00:00
180.0,16.0,14.0,Trisha,Neasham,F,Web Designer III,Argiculture,Affluent Customer,N,No,1971-09-17 00:00:00
181.0,49.0,9.0,Pavla,Braunle,F,Senior Editor,Manufacturing,Mass Customer,N,No,1982-11-21 00:00:00
182.0,99.0,7.0,Lydon,Dahlman,M,Sales Associate,Financial Services,Affluent Customer,N,Yes,1992-11-20 00:00:00
183.0,7.0,3.0,Dannie,Hissie,F,Geologist III,Retail,Affluent Customer,N,No,1997-08-05 00:00:00
184.0,40.0,7.0,Nappie,Paolo,M,Marketing Manager,Manufacturing,High Net Worth,N,Yes,1971-12-13 00:00:00
185.0,80.0,13.0,Crosby,Walcot,M,unkown,Property,Mass Customer,N,Yes,1979-12-13 00:00:00
186.0,46.0,3.0,Mireielle,Jeppe,F,Software Test Engineer I,Financial Services,Mass Customer,N,No,1974-05-06 00:00:00
187.0,97.0,11.0,Pincas,Ather,M,Structural Engineer,unkown,Mass Customer,N,No,1954-01-28 00:00:00
188.0,54.0,13.0,Audry,Seine,F,Safety Technician II,Property,High Net Worth,N,Yes,1975-06-22 00:00:00
189.0,73.0,10.0,Umberto,Torricella,M,Safety Technician I,Financial Services,Affluent Customer,N,No,1981-07-19 00:00:00
190.0,42.0,10.0,Hayley,Girardengo,F,Registered Nurse,Health,Affluent Customer,N,No,1979-02-04 00:00:00
191.0,22.0,6.0,Christopher,Heining,M,Help Desk Operator,unkown,Affluent Customer,N,Yes,1960-04-27 00:00:00
192.0,2.0,8.0,Goldi,Osler,F,Junior Executive,Health,Mass Customer,N,Yes,1978-11-19 00:00:00
193.0,13.0,12.0,Foss,Hardes,M,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,1964-07-22 00:00:00
194.0,4.0,10.0,Ursala,Ferrai,F,Web Developer III,Financial Services,Affluent Customer,N,No,1974-11-16 00:00:00
195.0,34.0,6.0,Talyah,Rylatt,F,Project Manager,Manufacturing,Mass Customer,N,No,1958-11-14 00:00:00
196.0,90.0,6.0,Swen,Odhams,M,Programmer Analyst II,Manufacturing,High Net Worth,N,No,1966-02-22 00:00:00
197.0,32.0,5.0,Avis,unkown,F,unkown,unkown,High Net Worth,N,No,1977-01-27 00:00:00
198.0,82.0,16.0,Vanya,Gumb,F,Assistant Media Planner,Entertainment,Mass Customer,N,No,1981-11-29 00:00:00
199.0,61.0,21.0,Verla,Alven,F,Junior Executive,Health,Mass Customer,N,Yes,1978-02-13 00:00:00
200.0,7.0,19.0,Hube,Weald,M,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,1957-02-04 00:00:00
201.0,45.0,11.0,Salem,Huie,M,Design Engineer,Manufacturing,Mass Customer,N,Yes,1966-04-20 00:00:00
202.0,38.0,16.0,Audie,Pillinger,F,Librarian,Entertainment,Affluent Customer,N,Yes,1963-06-24 00:00:00
203.0,71.0,11.0,Donovan,Conry,M,Senior Quality Engineer,Argiculture,Mass Customer,N,Yes,1964-01-13 00:00:00
204.0,56.0,5.0,Thorny,Hackworth,M,Editor,Financial Services,Mass Customer,N,No,1976-10-01 00:00:00
205.0,18.0,6.0,Rolfe,Kellard,M,Administrative Assistant II,Financial Services,Mass Customer,N,Yes,1958-12-01 00:00:00
206.0,98.0,14.0,Mari,Chevolleau,F,Statistician I,unkown,Mass Customer,N,Yes,1954-07-19 00:00:00
207.0,9.0,7.0,Adena,Whyman,F,unkown,unkown,Mass Customer,N,No,1994-08-10 00:00:00
208.0,57.0,5.0,Rutter,Excell,M,Office Assistant III,Property,High Net Worth,N,No,1994-10-31 00:00:00
209.0,9.0,6.0,Udall,Bellard,M,Analog Circuit Design manager,unkown,Affluent Customer,N,Yes,1957-08-28 00:00:00
210.0,50.0,18.0,Albrecht,Thomasson,M,Assistant Manager,Property,Mass Customer,N,No,1963-11-18 00:00:00
211.0,6.0,5.0,Beitris,unkown,F,VP Marketing,Manufacturing,Mass Customer,N,Yes,1974-03-04 00:00:00
212.0,21.0,1.0,Nanice,Ellse,F,Desktop Support Technician,IT,Affluent Customer,N,No,2001-11-19 00:00:00
213.0,13.0,6.0,Lockwood,Exroll,M,Actuary,Financial Services,High Net Worth,N,Yes,1996-05-14 00:00:00
214.0,82.0,6.0,Jeramie,Cellier,M,Food Chemist,Health,Mass Customer,N,No,1957-11-29 00:00:00
215.0,37.0,18.0,Debera,Foxworthy,F,Assistant Professor,Retail,High Net Worth,N,Yes,1974-06-24 00:00:00
216.0,12.0,7.0,Cinderella,Parcall,F,Quality Engineer,Financial Services,High Net Worth,N,Yes,1995-01-12 00:00:00
217.0,63.0,16.0,Jeralee,Quartly,F,unkown,Manufacturing,High Net Worth,N,No,1979-12-09 00:00:00
218.0,37.0,8.0,Stefa,Dunnan,F,Administrative Officer,Property,High Net Worth,N,Yes,1993-08-06 00:00:00
219.0,9.0,7.0,Markus,Mughal,M,Database Administrator III,Health,Mass Customer,N,No,1964-11-25 00:00:00
220.0,79.0,9.0,Jeniffer,Apark,F,Electrical Engineer,Manufacturing,High Net Worth,N,No,1954-05-10 00:00:00
221.0,14.0,14.0,Mara,Bloore,F,Tax Accountant,Manufacturing,Mass Customer,N,No,1980-03-10 00:00:00
222.0,89.0,16.0,Nev,Larive,M,Clinical Specialist,Health,Mass Customer,N,No,1978-09-03 00:00:00
